Customer ID,Full Name,Date of Purchase,Age,State,MTN Device,Gender,Satisfaction Rate,Customer Review,Customer Tenure in months,Subscription Plan,Unit Price,Number of Times Purchased,Total Revenue,Data Usage,Customer Churn Status,Reasons for Churn
CUST0001,Ngozi Berry,Jan-25,27,Kwara,4G Router,Male,2,Fair,2,165GB Monthly Plan,35000,19,665000,44.48,Yes,Relocation
CUST0002,Zainab Baker,Mar-25,16,Abuja (FCT),Mobile SIM Card,Female,2,Fair,22,12.5GB Monthly Plan,5500,12,66000,19.79,Yes,Better Offers from Competitors
CUST0003,Saidu Evans,Mar-25,21,Sokoto,5G Broadband Router,Male,1,Poor,60,150GB FUP Monthly Unlimited,20000,8,160000,9.64,No,
CUST0003,Saidu Evans,Mar-25,21,Sokoto,Mobile SIM Card,Male,1,Poor,60,1GB+1.5mins Daily Plan,500,8,4000,197.05,No,
CUST0003,Saidu Evans,Mar-25,21,Sokoto,Broadband MiFi,Male,1,Poor,60,30GB Monthly Broadband Plan,9000,15,135000,76.34,No,
CUST0004,Ejiro Walker,Mar-25,36,Gombe,4G Router,Female,1,Poor,14,10GB+10mins Monthly Plan,4500,9,40500,92.72,No,
CUST0005,Nura Mann,Jan-25,57,Oyo,4G Router,Male,3,Good,53,25GB Monthly Plan,9000,16,144000,42.92,No,
CUST0006,Tamuno Lewis,Feb-25,74,Plateau,Mobile SIM Card,Female,5,Excellent,9,7GB Monthly Plan,3500,5,17500,44.25,No,
CUST0006,Tamuno Lewis,Feb-25,74,Plateau,5G Broadband Router,Female,5,Excellent,9,1.5TB Yearly Broadband Plan,150000,2,300000,18.64,No,
CUST0006,Tamuno Lewis,Feb-25,74,Plateau,4G Router,Female,5,Excellent,9,65GB Monthly Plan,16000,6,96000,30.99,No,
CUST0007,Boma Stewart,Mar-25,24,Jigawa,Broadband MiFi,Female,5,Excellent,39,120GB Monthly Broadband Plan,24000,11,264000,150.3,Yes,Relocation
CUST0008,Ifeanyi Park,Jan-25,53,Kwara,Broadband MiFi,Male,3,Good,30,300GB FUP Monthly Unlimited,30000,17,510000,168.41,No,
CUST0009,Bala Robbins,Jan-25,35,Gombe,Broadband MiFi,Male,5,Excellent,35,300GB FUP Monthly Unlimited,30000,10,300000,175.81,No,
CUST0010,Halima Ochoa,Mar-25,23,Imo,4G Router,Male,1,Poor,6,10GB+10mins Monthly Plan,4500,20,90000,53.38,No,
CUST0010,Halima Ochoa,Mar-25,23,Imo,Broadband MiFi,Male,1,Poor,6,60GB Monthly Broadband Plan,14500,18,261000,192.89,No,
CUST0010,Halima Ochoa,Mar-25,23,Imo,Mobile SIM Card,Male,1,Poor,6,500MB Daily Plan,350,13,4550,142.73,No,
CUST0011,Ejiro Griffith,Feb-25,72,Bauchi,4G Router,Female,2,Fair,8,65GB Monthly Plan,16000,2,32000,14.66,Yes,Poor Network
CUST0011,Ejiro Griffith,Feb-25,72,Bauchi,5G Broadband Router,Female,2,Fair,8,60GB Monthly Broadband Plan,14500,2,29000,13.95,Yes,Poor Network
CUST0011,Ejiro Griffith,Feb-25,72,Bauchi,Broadband MiFi,Female,2,Fair,8,300GB FUP Monthly Unlimited,30000,8,240000,14.64,Yes,Poor Network
CUST0012,Zainab Morton,Mar-25,78,Ondo,4G Router,Male,2,Fair,47,65GB Monthly Plan,16000,12,192000,131.97,No,
CUST0012,Zainab Morton,Mar-25,78,Ondo,Broadband MiFi,Male,2,Fair,47,60GB Monthly Broadband Plan,14500,2,29000,82.51,No,
CUST0013,Ngozi Moreno,Jan-25,23,Kebbi,4G Router,Female,2,Fair,52,10GB+10mins Monthly Plan,4500,8,36000,56.07,Yes,Relocation
CUST0013,Ngozi Moreno,Jan-25,23,Kebbi,Mobile SIM Card,Female,2,Fair,52,3.2GB 2-Day Plan,1000,18,18000,88.9,Yes,Relocation
CUST0014,Ngozi Crawford,Feb-25,22,Adamawa,4G Router,Male,2,Fair,6,65GB Monthly Plan,16000,1,16000,33.35,No,
CUST0014,Ngozi Crawford,Feb-25,22,Adamawa,Mobile SIM Card,Male,2,Fair,6,20GB Monthly Plan,7500,15,112500,53.41,No,
CUST0015,Abubakar Garner,Mar-25,70,Yobe,Broadband MiFi,Male,2,Fair,13,30GB Monthly Broadband Plan,9000,16,144000,10.5,No,
CUST0015,Abubakar Garner,Mar-25,70,Yobe,5G Broadband Router,Male,2,Fair,13,300GB FUP Monthly Unlimited,30000,17,510000,11.85,No,
CUST0015,Abubakar Garner,Mar-25,70,Yobe,4G Router,Male,2,Fair,13,65GB Monthly Plan,16000,3,48000,170.34,No,
CUST0016,Kunle Ford,Feb-25,46,Kebbi,Broadband MiFi,Male,5,Excellent,57,300GB FUP Monthly Unlimited,30000,11,330000,41.25,No,
CUST0016,Kunle Ford,Feb-25,46,Kebbi,4G Router,Male,5,Excellent,57,10GB+10mins Monthly Plan,4500,5,22500,53.49,No,
CUST0016,Kunle Ford,Feb-25,46,Kebbi,5G Broadband Router,Male,5,Excellent,57,120GB Monthly Broadband Plan,24000,3,72000,91.72,No,
CUST0017,Tunde Hayes,Feb-25,74,Anambra,4G Router,Male,5,Excellent,35,25GB Monthly Plan,9000,15,135000,57.35,Yes,Costly Data Plans
CUST0018,David Fletcher,Mar-25,54,Bauchi,5G Broadband Router,Male,1,Poor,43,150GB FUP Monthly Unlimited,20000,18,360000,178,No,
CUST0019,Obinna Wright,Mar-25,50,Cross River,Mobile SIM Card,Male,2,Fair,46,2.5GB 2-Day Plan,900,14,12600,18.91,No,
CUST0019,Obinna Wright,Mar-25,50,Cross River,4G Router,Male,2,Fair,46,25GB Monthly Plan,9000,11,99000,9.3,No,
CUST0020,Amaka Reed,Mar-25,49,Abuja (FCT),4G Router,Female,5,Excellent,36,25GB Monthly Plan,9000,5,45000,116.71,Yes,Poor Network
CUST0020,Amaka Reed,Mar-25,49,Abuja (FCT),5G Broadband Router,Female,5,Excellent,36,450GB 3-Month Broadband Plan,75000,10,750000,25.93,Yes,Poor Network
CUST0020,Amaka Reed,Mar-25,49,Abuja (FCT),Broadband MiFi,Female,5,Excellent,36,300GB FUP Monthly Unlimited,30000,2,60000,179.85,Yes,Poor Network
CUST0021,Oghene Brown,Mar-25,42,Imo,Mobile SIM Card,Male,5,Excellent,23,10GB+10mins Monthly Plan,4500,1,4500,176.34,No,
CUST0022,Shehu Ferguson,Feb-25,58,Kogi,Mobile SIM Card,Male,1,Poor,18,500MB Daily Plan,350,15,5250,40.31,No,
CUST0023,Oghene Vazquez,Feb-25,55,Osun,5G Broadband Router,Male,4,Very Good,2,200GB Monthly Broadband Plan,25000,13,325000,128.48,No,
CUST0024,David Johnson,Mar-25,58,Kano,Broadband MiFi,Male,2,Fair,57,120GB Monthly Broadband Plan,24000,11,264000,87.2,No,
CUST0024,David Johnson,Mar-25,58,Kano,Mobile SIM Card,Male,2,Fair,57,20GB Monthly Plan,7500,17,127500,121.44,No,
CUST0025,Ifeanyi Brown,Mar-25,65,Benue,4G Router,Female,1,Poor,3,65GB Monthly Plan,16000,11,176000,189.8,No,
CUST0025,Ifeanyi Brown,Mar-25,65,Benue,Mobile SIM Card,Female,1,Poor,3,7GB Monthly Plan,3500,4,14000,132.85,No,
CUST0025,Ifeanyi Brown,Mar-25,65,Benue,5G Broadband Router,Female,1,Poor,3,120GB Monthly Broadband Plan,24000,14,336000,101.67,No,
CUST0026,Ese Simmons,Mar-25,67,Cross River,5G Broadband Router,Male,4,Very Good,13,450GB 3-Month Broadband Plan,75000,1,75000,109.81,No,
CUST0027,Maryam Reyes,Mar-25,52,Ondo,4G Router,Female,4,Very Good,51,10GB+10mins Monthly Plan,4500,10,45000,131.94,No,
CUST0027,Maryam Reyes,Mar-25,52,Ondo,5G Broadband Router,Female,4,Very Good,51,200GB Monthly Broadband Plan,25000,8,200000,19.13,No,
CUST0027,Maryam Reyes,Mar-25,52,Ondo,Mobile SIM Card,Female,4,Very Good,51,1GB+1.5mins Daily Plan,500,7,3500,45.32,No,
CUST0028,Obinna Sanchez,Jan-25,19,Rivers,Mobile SIM Card,Male,4,Very Good,31,10GB+10mins Monthly Plan,4500,5,22500,80.23,No,
CUST0028,Obinna Sanchez,Jan-25,19,Rivers,Mobile SIM Card,Male,4,Very Good,31,2.5GB 2-Day Plan,900,4,3600,178.59,No,
CUST0029,Boma Franco,Feb-25,44,Enugu,5G Broadband Router,Female,1,Poor,4,450GB 3-Month Broadband Plan,75000,18,1350000,166.2,No,
CUST0029,Boma Franco,Feb-25,44,Enugu,4G Router,Female,1,Poor,4,165GB Monthly Plan,35000,16,560000,179.49,No,
CUST0030,Alabo Davis,Mar-25,49,Imo,5G Broadband Router,Female,2,Fair,50,200GB Monthly Broadband Plan,25000,18,450000,64.28,Yes,Poor Network
CUST0030,Alabo Davis,Mar-25,49,Imo,Broadband MiFi,Female,2,Fair,50,30GB Monthly Broadband Plan,9000,8,72000,28.11,Yes,Poor Network
CUST0030,Alabo Davis,Mar-25,49,Imo,4G Router,Female,2,Fair,50,165GB Monthly Plan,35000,7,245000,138.94,Yes,Poor Network
CUST0031,Kunle West,Mar-25,69,Kogi,Mobile SIM Card,Female,4,Very Good,35,2.5GB 2-Day Plan,900,19,17100,171.42,Yes,Better Offers from Competitors
CUST0031,Kunle West,Feb-25,69,Kogi,5G Broadband Router,Female,4,Very Good,35,450GB 3-Month Broadband Plan,75000,12,900000,95.66,Yes,Better Offers from Competitors
CUST0032,Maryam Terry,Feb-25,65,Kogi,Mobile SIM Card,Male,3,Good,32,7GB Monthly Plan,3500,13,45500,133.94,No,
CUST0033,Amina Mosley,Feb-25,75,Borno,Broadband MiFi,Male,5,Excellent,59,60GB Monthly Broadband Plan,14500,15,217500,27.57,No,
CUST0034,Shehu Anderson,Feb-25,22,Edo,5G Broadband Router,Female,4,Very Good,21,120GB Monthly Broadband Plan,24000,16,384000,167.06,No,
CUST0034,Shehu Anderson,Feb-25,22,Edo,Mobile SIM Card,Female,4,Very Good,21,65GB Monthly Plan,16000,2,32000,149.93,No,
CUST0035,Oghene Mcguire,Jan-25,44,Kaduna,4G Router,Male,2,Fair,49,165GB Monthly Plan,35000,19,665000,134.06,Yes,Poor Network
CUST0035,Oghene Mcguire,Jan-25,44,Kaduna,Broadband MiFi,Male,2,Fair,49,150GB FUP Monthly Unlimited,20000,9,180000,93.27,Yes,Poor Network
CUST0035,Oghene Mcguire,Jan-25,44,Kaduna,5G Broadband Router,Male,2,Fair,49,200GB Monthly Broadband Plan,25000,20,500000,33.97,Yes,Poor Network
CUST0036,Ifeanyi Randall,Jan-25,36,Abia,Mobile SIM Card,Male,3,Good,38,500MB Daily Plan,350,8,2800,15.66,No,
CUST0036,Ifeanyi Randall,Jan-25,36,Abia,5G Broadband Router,Male,3,Good,38,150GB FUP Monthly Unlimited,20000,10,200000,139.59,No,
CUST0037,Ifeanyi Ruiz,Mar-25,21,Ekiti,Broadband MiFi,Female,1,Poor,43,60GB Monthly Broadband Plan,14500,12,174000,21.56,No,
CUST0037,Ifeanyi Ruiz,Mar-25,21,Ekiti,4G Router,Female,1,Poor,43,165GB Monthly Plan,35000,14,490000,141.61,No,
CUST0038,Shehu Randall,Feb-25,50,Adamawa,Broadband MiFi,Female,5,Excellent,30,300GB FUP Monthly Unlimited,30000,8,240000,176.39,Yes,Better Offers from Competitors
CUST0039,Zina Green,Mar-25,64,Bayelsa,5G Broadband Router,Male,2,Fair,32,120GB Monthly Broadband Plan,24000,9,216000,176.12,No,
CUST0039,Zina Green,Mar-25,64,Bayelsa,Mobile SIM Card,Male,2,Fair,32,65GB Monthly Plan,16000,7,112000,103.57,No,
